:,c,39;
:,d,151;
:,e,61;
:,f,89;
:,g,42;
:,h,28;
:,i,83;
:,j,18;
:,k,31;
:,l,25;
:,m,45;
:,n,19;
:,o,19;
:,p,21;
:,q,2;
:,r,22;
:,s,69;
:,t,32;
:,u,21;
:,v,27;
:,w,36;
:,y,2;
:,z,18;
:,„,44;
:,Ö,2;
:,Ü,3;
:,ä,1;
;, ,3661;
;,!,1;
;,),2;
;,-,1;
;,1,12;
;,5,3;
;,;,9;
;,=,1;
;,a,5;
;,b,12;
;,d,13;
;,e,11;
;,f,4;
;,g,8;
;,h,6;
;,i,6;
;,j,2;
;,k,5;
;,l,1;
;,m,3;
;,n,2;
;,o,1;
;,p,3;
;,r,4;
;,s,2;
;,t,9;
;,u,4;
;,v,9;
;,w,3;
;,z,3;
;,Ä,1;
<, ,15;
<,,,1;
<,1,1;
<,8,1;
<,9,1;
<,<,3;
<,b,1;
<,h,1;
<,s,1;
=, ,22433;
=,",8;
=,#,1;
=,(,41;
=,),1;
=,*,4;
=,.,1;
=,0,4;
=,1,633;
=,2,244;
=,3,11;
=,4,10;
=,5,12;
=,6,2;
=,7,3;
=,8,3;
=,9,8;
=,<,1;
=,=,56071;
=,>,4;
=,[,4;
=,a,1056;
=,b,811;
=,c,333;
=,d,3587;
=,e,754;
=,f,446;
=,g,475;
=,h,612;
=,i,870;
=,j,358;
=,k,362;
=,l,810;
=,m,646;
=,n,521;
=,o,394;
=,p,461;
=,q,13;
=,r,357;
=,s,829;
=,t,305;
=,u,158;
=,v,298;
=,w,690;
=,x,5;
=,y,20;
=,z,192;
=,{,1;
=,‚,1;
=,„,45;
=,Š,1;
=,Ž,1;
=,–,1;
=,§,2;
=,«,2;
=,¹,2;
=,Á,4;
=,Ä,8;
=,Å,1;
=,É,8;
=,Ó,1;
=,Ö,14;
=,Ø,1;
=,Ù,1;
=,Ü,46;
=,Þ,1;
>, ,20;
>,,,1;
>,=,1;
>,>,3;
>,d,2;
>,g,1;
>,s,1;
?, ,193;
?,!,5;
?,",3;
?,',1;
?,),42;
?,,,21;
?,-,1;
?,.,28;
?,0,4;
?,1,4;
?,2,3;
?,:,8;
?,;,1;
?,=,3;
?,?,11;
?,],2;
?,a,1;
?,c,3;
?,d,3;
?,e,1;
?,i,9;
?,k,1;
?,m,1;
?,n,3;
?,o,1;
?,p,1;
?,r,1;
?,s,9;
?,v,3;
?,w,1;
?,‘,1;
?,’,1;
?,“,21;
